TF,false_low_capacity_prob_fixed
Tnfaip3,0.2019895764335894
Toe1,0.5000790357364537
Tox,0.5634580351404146
Tox3,0.5547992992364382
Tox4,0.3929804497516276
Trerf1,0.3274124457313792
Trmt1,0.7064522635862631
Tsc22d3,0.6486972105559111
Usf1,0.21452554902761656
Vax2,0.28930443122815297
Vdr,0.03409090909090906
Vsx2,0
Yap1,0
Yy1,0.23079255391350206
Zbed4,0.23830998262669412
Zbtb12,0.20663605967832754
Zbtb16,0.5724007140921394
Zbtb18,0.5547992992364382
Zbtb25,0.14217646411475382
Zbtb26,0.08787852591803458
Zbtb3,0.635312392723866
Zbtb33,0.27621913049636293
Zbtb39,0.13629932372903864
Zbtb41,0
Zbtb43,0.7129568473881119
Zbtb48,0.2136429087613847
Zbtb5,0.21277708171726228
Zbtb9,0.3274124457313792
Zc2hc1a,0.2459945088523029
Zc3h8,0.7186533364021817
Zcchc4,0.6416560312195332
Zdhhc12,0
Zdhhc14,0.20492059022456177
Zdhhc16,0.21081873689288444
Zdhhc19,0.29038029101424423
Zdhhc20,0.15771539059977968
Zdhhc25,0.12421590339726818
Zdhhc3,0.10496413792507098
Zdhhc4,0.22795141359494708
Zdhhc7,0.08095394752794283
Zdhhc9,0.1788916930187846
Zeb1,0.6114282169032321
Zfand5,0.07011375586922952
Zfp113,0.2578380183379323
Zfp131,0.5816465918218707
Zfp14,0.28719017103140143
Zfp142,0.20713832495953588
Zfp157,0.5346706944752067
Zfp184,0.47854296294696286
Zfp189,0.5912169517703989
Zfp212,0
Zfp24,0
Zfp263,0.16739062732327303
Zfp277,0.05107087390088161
Zfp280b,0.1832002787735768
Zfp30,0.18109115419104138
Zfp319,0.21616252056689866
Zfp335,0.41712127943978583
Zfp354a,0.22384955584217703
Zfp365,0.2543747101614424
Zfp366,0.26679639088462004
Zfp369,0.022727272727272707
Zfp41,0.12724958299805955
Zfp410,0.30068289876942633
Zfp414,0.0832623523446635
Zfp42,0.15088439805629128
Zfp423,0.6856333308963145
Zfp446,0.5112877069952277
Zfp449,0.6234472049525528
Zfp454,0.11100508232005912
Zfp455,0.6486972105559111
Zfp46,0.2526674846432898
Zfp462,0.3852102527701273
Zfp467,0.42845245405198673
Zfp472,0.24930038504924668
Zfp512,0.19485579321163526
Zfp513,0.37005733446667666
Zfp521,0.6011354001806375
Zfp524,0.18472180535135163
Zfp526,0.2352280233834504
Zfp54,0.32067831582904227
Zfp553,0.22519638182264445
Zfp57,0.6726427822963262
Zfp580,0.23752964229111306
Zfp593,0.2821164533605728
Zfp60,0.37005733446667666
Zfp619,0.28719017103140143
Zfp629,0.6486972105559111
Zfp637,0.142951276263526
Zfp646,0.19025711168544368
Zfp655,0.4380306827481528
Zfp663,0.7846216079527497
Zfp687,0.2578380183379323
Zfp688,0.2821164533605728
Zfp689,0
Zfp69,0.5228121566634218
Zfp692,0
Zfp707,0.022727272727272707
Zfp729a,0.4008857873479317
Zfp747,0.04396225139314913
Zfp750,0.28930443122815297
Zfp763,0.5000790357364537
Zfp78,0.28719017103140143
Zfp788,0.2102743645725792
Zfp791,0.6994116540364134
Zfp800,0.44007366964379446
Zfp809,0.26496905709307417
Zfp810,0.2151236437811398
Zfp811,0.21136970782617281
Zfp819,0.13663811694061045
Zfp85,0.7064522635862631
Zfp867,0.2801293496274472
Zfp87,0.24930038504924668
Zfp92,0.03409090909090906
Zfp93,0.42665221520687946
Zfp935,0.29711737939185523
Zfp955a,0.6726427822963262
Zfp956,0.3056654657235167
Zfp991,0.2801293496274472
Zfpl1,0.21000460386713304
Zic3,0
Zim1,0.2595947294127935
Zkscan1,0.33424784453344303
Zkscan14,0.08019181753443971
Zkscan2,0.142951276263526
Zkscan8,0.4214559957668841
Zmat2,0.1419211008281982
Zscan18,0.3411876045928923
Zscan2,0.039372115631670423
Zscan20,0.5912169517703989
Zscan26,0.14400534194165826
Zscan29,0.06795990955850639
